node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
Peace,3,5,10.0,4,8.0,1,2.0,0.8,0.8,5,7,114,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.00041635995407740545,0.0,0.0040633019674935844
ColdWar,3,4,8.0,4,8.0,0,0.0,1.0,1.0,4,5,39,2.737382378100941e-5,1.0,0.6,1.0,0.00047574222889190665,0.0,0.001390076988879384
ChinaWillNeverForget,3,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,39,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.0007141052454264218,0.0,0.001390076988879384
FakeNews,3,4,8.0,1,2.0,3,6.0,0.25,0.25,4,5,123,2.737382378100941e-5,0.9,0.5,0.8333333333333334,0.0,4.7016120231446745e-5,0.004384088964927289
UStroopsonow,7,8,16.0,8,16.0,0,0.0,1.0,1.0,8,10,88,5.474764756201882e-5,1.0,0.7777777777777778,1.0,0.00033060654129934974,0.0,0.003136583974907328
DiscoverPH,6,1,2.0,1,2.0,0,0.0,1.0,1.0,1,1,2,6.843455945252353e-6,1.0,0.0,0.0,0.000134364112371943,0.0,7.128599942971201e-5
JOINTCOOPERATION,7,7,22.0,7,22.0,0,0.0,1.0,1.0,7,13,88,7.527801539777588e-5,0.9642857142857143,0.7142857142857143,0.9696969696969697,0.00045525461689194247,0.0,0.003136583974907328
m,1,5,10.0,3,6.0,2,4.0,0.6,0.6,5,7,110,3.421727972626176e-5,1.0,0.6666666666666666,1.0,0.00024201789445760236,0.0,0.00392072996863416
MythicalDragonRising,3,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,39,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.0007141052454264218,0.0,0.001390076988879384
OneRoomAwayFromTheDragon,3,6,12.0,6,12.0,0,0.0,1.0,1.0,6,8,39,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.0007141052454264218,0.0,0.001390076988879384
TroopsOutNow,7,10,20.0,8,16.0,2,4.0,0.8,0.8,10,12,126,6.843455945252352e-5,1.0,0.8181818181818182,1.0,0.0001433220639876498,0.0,0.004491017964071856
