node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
PinoyUK,8,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002707871925509142,0.0,0.0003676470588235294
Decolonisation,8,5,10.0,5,10.0,0,0.0,1.0,1.0,5,14,24,6.175698625907056e-5,1.0,0.6666666666666666,1.0,0.0002707871925509142,0.0,0.0003676470588235294
balikatan2022,4,24,82.0,17,43.0,7,39.0,0.7083333333333334,0.524390243902439,5,45,73,0.0005064072873243785,0.20666666666666667,0.12666666666666668,0.1956521739130435,0.0,0.0007952860768458692,0.0011182598039215686
UnitedStates,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
CopeNorth22,1,4,10.0,4,10.0,0,0.0,1.0,1.0,3,11,132,6.175698625907056e-5,0.8,0.4,0.7333333333333333,0.0,1.084248721294756e-5,0.002022058823529412
Pacific,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
NavyPartnerships,1,8,93.0,5,75.0,3,18.0,0.625,0.8064516129032258,4,52,169,0.0005743399722093562,0.5555555555555556,0.3333333333333333,0.5360983102918587,0.0,0.001079911901538999,0.002588848039215686
陸上自衛隊,6,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.00378519339485639,0.0,0.002022058823529412
India,1,3,11.0,1,9.0,2,2.0,0.3333333333333333,0.8181818181818182,2,14,151,6.793268488497761e-5,0.6666666666666666,0.16666666666666666,0.09090909090909091,0.0,0.00011690748980086596,0.0023131127450980392
MDXARB,2,4,108.0,2,54.0,2,54.0,0.5,0.5,4,63,167,0.000666975451597962,1.0,0.6,1.0,0.0,0.002532621890609432,0.0025582107843137255
自由で開かれたインド太平洋,1,3,7.0,3,7.0,0,0.0,1.0,1.0,3,10,132,4.322989038134939e-5,1.0,0.5,1.0,0.0,7.6081186969334524e-6,0.002022058823529412
日米友好,6,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.00378519339485639,0.0,0.002022058823529412
KordilyeraAgkaykaysa2022,7,4,78.0,4,78.0,0,0.0,1.0,1.0,4,53,14,0.00048170449282075036,1.0,0.6,1.0,0.0019262021868019508,0.0,0.0002144607843137255
USSMomsen,1,1,3.0,1,3.0,0,0.0,1.0,1.0,1,3,132,1.8527095877721168e-5,1.0,0.0,0.0,0.0,3.2711139061891714e-6,0.002022058823529412
Soldiers,1,6,204.0,3,123.0,3,81.0,0.5,0.6029411764705882,5,75,167,0.0012598425196850393,0.7619047619047619,0.47619047619047616,0.7107843137254902,0.0,0.004973100165914124,0.0025582107843137255
NavalPartnerships,1,1,4.0,1,4.0,0,0.0,1.0,1.0,1,4,132,2.4702794503628223e-5,1.0,0.0,0.0,0.0,4.357989420000763e-6,0.002022058823529412
StrategicDeterrence,2,12,98.0,11,94.0,1,4.0,0.9166666666666666,0.9591836734693877,6,55,167,0.0006052184653388915,0.5897435897435898,0.4358974358974359,0.5324675324675324,0.00095083007354968,0.0,0.0025582107843137255
IPDF,4,7,50.0,6,45.0,1,5.0,0.8571428571428571,0.9,4,45,62,0.0003087849312953528,0.6785714285714286,0.42857142857142855,0.62,0.0008716146662743895,0.0,0.0009497549019607843
Security,8,16,41.0,9,18.0,7,23.0,0.5625,0.43902439024390244,9,23,66,0.00025320364366218927,0.47794117647058826,0.3602941176470588,0.4195121951219512,0.0,0.00041941746035978333,0.001011029411764706
BRAHMOS,4,2,2.0,1,1.0,1,1.0,0.5,0.5,2,2,26,1.2351397251814112e-5,1.0,0.3333333333333333,1.0,0.0,2.9972662378474624e-5,0.0003982843137254902
PhilippineMarineCorps,4,3,29.0,3,29.0,0,0.0,1.0,1.0,3,31,27,0.00017909526015130462,1.0,0.5,1.0,0.0006867418133231773,0.0,0.0004136029411764706
HIMARS,2,4,16.0,3,12.0,1,4.0,0.75,0.75,4,19,168,9.881117801451289e-5,1.0,0.6,1.0,0.0,8.757443548990107e-5,0.002573529411764706
China,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
Asia,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
MonitorASEAN,8,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.0003250532809784268,0.0,0.00024509803921568627
ASEAN,8,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.0003250532809784268,0.0,0.00024509803921568627
specialeurasia,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
geopolitics,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
risk,8,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0004880692550932597,0.0,0.0003676470588235294
Scarborough,8,3,12.0,3,12.0,0,0.0,1.0,1.0,3,15,16,7.410838351088467e-5,1.0,0.5,1.0,0.0003250532809784268,0.0,0.00024509803921568627
NorthernViking22,2,5,84.0,5,84.0,0,0.0,1.0,1.0,5,54,66,0.0005187586845761926,1.0,0.6666666666666666,1.0,0.0010595319748678556,0.0,0.001011029411764706
3DMLR,2,10,23.0,3,12.0,7,11.0,0.3,0.5217391304347826,7,20,149,0.00014204106839586227,0.6909090909090909,0.509090909090909,0.5893719806763285,0.0,0.0004191379932514394,0.0022824754901960786
Deployment,8,7,7.0,4,4.0,3,3.0,0.5714285714285714,0.5714285714285714,7,10,149,4.322989038134939e-5,1.0,0.75,1.0,0.0,2.812794384188244e-5,0.0022824754901960786
ForceDesign,8,7,7.0,4,4.0,3,3.0,0.5714285714285714,0.5714285714285714,7,10,149,4.322989038134939e-5,1.0,0.75,1.0,0.0,2.812794384188244e-5,0.0022824754901960786
Partners,8,7,7.0,4,4.0,3,3.0,0.5714285714285714,0.5714285714285714,7,10,149,4.322989038134939e-5,1.0,0.75,1.0,0.0,2.812794384188244e-5,0.0022824754901960786
Allies,8,7,7.0,4,4.0,3,3.0,0.5714285714285714,0.5714285714285714,7,10,149,4.322989038134939e-5,1.0,0.75,1.0,0.0,2.812794384188244e-5,0.0022824754901960786
水陸機動団,6,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.00378519339485639,0.0,0.002022058823529412
AmphibiousRapidDeployment,6,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.00378519339485639,0.0,0.002022058823529412
JapanGroundSelfDefenseForce,6,7,280.0,6,240.0,1,40.0,0.8571428571428571,0.8571428571428571,7,84,132,0.0017291956152539756,1.0,0.75,1.0,0.00378519339485639,0.0,0.002022058823529412
DualCarrierOps,1,1,2.0,1,2.0,0,0.0,1.0,1.0,1,2,132,1.2351397251814112e-5,1.0,0.0,0.0,0.0,2.182490027036188e-6,0.002022058823529412
コープノース２２,1,3,7.0,3,7.0,0,0.0,1.0,1.0,3,10,132,4.322989038134939e-5,1.0,0.5,1.0,0.0,7.6081186969334524e-6,0.002022058823529412
FightNow,2,2,4.0,1,2.0,1,2.0,0.5,0.5,2,4,134,2.4702794503628223e-5,1.0,0.3333333333333333,1.0,0.0,9.347356222288994e-5,0.0020526960784313726
LabanKabataan,7,2,2.0,2,2.0,0,0.0,1.0,1.0,2,2,14,1.2351397251814112e-5,1.0,0.3333333333333333,1.0,4.87504053962029e-5,0.0,0.0002144607843137255
95KabataanPartylist,7,2,2.0,2,2.0,0,0.0,1.0,1.0,2,2,14,1.2351397251814112e-5,1.0,0.3333333333333333,1.0,4.87504053962029e-5,0.0,0.0002144607843137255
eltrafico,9,2,12.0,2,12.0,0,0.0,1.0,1.0,2,15,29,7.410838351088467e-5,1.0,0.3333333333333333,1.0,0.00034626131747772515,0.0,0.00044424019607843137
lafc,9,5,17.0,5,17.0,0,0.0,1.0,1.0,3,16,29,0.00010498687664041995,0.6666666666666666,0.3333333333333333,0.6323529411764706,0.0004909414347358254,0.0,0.00044424019607843137
EABO,1,1,27.0,1,27.0,0,0.0,1.0,1.0,1,29,132,0.0001667438628994905,1.0,0.0,0.0,0.0,2.887194749923161e-5,0.002022058823529412
