node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
sls22,4,5,35.0,3,21.0,2,14.0,0.6,0.6,5,40,132,0.00021614945190674695,1.0,0.6666666666666666,1.0,0.0,8.253716092276875e-5,0.002022058823529412
VojskaCrneGore,10,3,6.0,3,6.0,0,0.0,1.0,1.0,3,7,63,3.7054191755442337e-5,1.0,0.5,1.0,0.0,3.913327996551974e-5,0.0009650735294117647
USSJohnPMurtha,10,3,129.0,3,129.0,0,0.0,1.0,1.0,3,71,132,0.0007966651227420102,1.0,0.5,1.0,0.0,0.0008410920334835925,0.002022058823529412
USSTripoli,10,7,528.0,7,528.0,0,0.0,1.0,1.0,5,95,132,0.0032607688744789253,0.8214285714285714,0.5714285714285714,0.8506944444444444,0.0,0.003435494483931767,0.002022058823529412
ourocean2022,10,1,45.0,1,45.0,0,0.0,1.0,1.0,1,47,132,0.0002779064381658175,1.0,0.0,0.0,0.0,0.0002934737369495455,0.002022058823529412
VMFA22,10,5,300.0,5,300.0,0,0.0,1.0,1.0,5,86,132,0.0018527095877721167,1.0,0.6666666666666666,1.0,0.0,0.0019546800286196486,0.002022058823529412
USSAsheville,10,3,132.0,3,132.0,0,0.0,1.0,1.0,3,72,133,0.0008151922186197313,1.0,0.5,1.0,0.0,0.0008606439865116444,0.0020373774509803923
Forward,2,18,126.0,14,98.0,4,28.0,0.7777777777777778,0.7777777777777778,18,67,151,0.0007781380268642891,1.0,0.8947368421052632,1.0,0.0006957919452212913,0.0,0.0023131127450980392
JMSDF70th,1,3,99.0,2,66.0,1,33.0,0.6666666666666666,0.6666666666666666,3,58,139,0.0006113941639647985,1.0,0.5,1.0,0.0001364489640145461,0.0,0.0021292892156862743
Okinawa,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
Europe,2,5,120.0,4,96.0,1,24.0,0.8,0.8,5,64,82,0.0007410838351088467,1.0,0.6666666666666666,1.0,0.0008756270885872386,0.0,0.0012561274509803922
Marine,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
Squadron,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
LightningII,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
1stMAW,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
MarineAircraft,2,18,148.0,14,116.0,4,32.0,0.7777777777777778,0.7837837837837838,18,68,151,0.0009140033966342443,1.0,0.8947368421052632,1.0,0.0008958937223436658,0.0,0.0023131127450980392
CSARTE22,10,4,84.0,4,84.0,0,0.0,1.0,1.0,4,54,132,0.0005187586845761926,1.0,0.6,1.0,0.0,0.0005477618053889577,0.002022058823529412
USSAbrahamLincoln,10,1,31.0,1,31.0,0,0.0,1.0,1.0,1,34,132,0.00019144665740311871,1.0,0.0,0.0,0.0,0.0002021775110888635,0.002022058823529412
Military,3,9,18.0,9,18.0,0,0.0,1.0,1.0,9,22,24,0.00011116257526632701,1.0,0.8,1.0,0.0005144762781286172,0.0,0.0003676470588235294
ArcticSecurity,2,8,96.0,7,78.0,1,18.0,0.875,0.8125,6,56,82,0.0005928670680870774,0.8055555555555556,0.5833333333333334,0.7991071428571429,0.0007915319342718385,0.0,0.0012561274509803922
Stronger_Together,2,8,96.0,7,78.0,1,18.0,0.875,0.8125,6,56,82,0.0005928670680870774,0.8055555555555556,0.5833333333333334,0.7991071428571429,0.0007915319342718385,0.0,0.0012561274509803922
